26.1Q, F&F , F&F Shanghai , FnF HONGKONG , F&F 베트남 , 빅텐츠 , 엔터테인먼트 , 세르지오 , 단순합계 ,연결분개 DR,연결분개 CR,Dr,Cr,2026년 03월 31일,2025년 12월 31일,26.2Q, F&F , F&F Shanghai , FnF HONGKONG , F&F 베트남 , 빅텐츠 , 엔터테인먼트 , 세르지오 , 단순합계 ,연결분개 DR,연결분개 CR,Dr,Cr,2026년 06월 30일,2025년 12월 31일,26.3Q, F&F , F&F Shanghai , FnF HONGKONG , F&F 베트남 , 빅텐츠 , 엔터테인먼트 , 세르지오 , 단순합계 ,연결분개 DR,연결분개 CR,Dr,Cr,2026년 09월 30일,2025년 12월 31일,26.4Q, F&F , F&F Shanghai , FnF HONGKONG , F&F 베트남 , 빅텐츠 , 엔터테인먼트 , 세르지오 , 단순합계 ,연결분개 DR,연결분개 CR,Dr,Cr,2026년 12월 31일,2025년 12월 31일
토지,"345,733,388,934",0,0,0,0,0,0,"345,733,388,934",,,,,"345,733,388,934","289,434,658,658",토지,,,,,,,,,,,,,,"289,434,658,658",토지,,,,,,,,,,,,,,"289,434,658,658",토지,,,,,,,,,,,,,,"289,434,658,658"
건물,"17,058,568,744",0,0,0,0,0,0,"17,058,568,744",,,,,"17,058,568,744","93,999,111,231",건물,,,,,,,,,,,,,,"93,999,111,231",건물,,,,,,,,,,,,,,"93,999,111,231",건물,,,,,,,,,,,,,,"93,999,111,231"
건물감가상각누계액,"-1,893,580,566",0,0,0,0,0,0,"-1,893,580,566",,,,,"-1,893,580,566","-2,345,790,481",건물감가상각누계액,,,,,,,,,,,,,,"-2,345,790,481",건물감가상각누계액,,,,,,,,,,,,,,"-2,345,790,481",건물감가상각누계액,,,,,,,,,,,,,,"-2,345,790,481"
건물부속설비,"2,243,002,258",0,0,0,0,0,0,"2,243,002,258",,,,,"2,243,002,258","2,243,002,258",건물부속설비,,,,,,,,,,,,,,"2,243,002,258",건물부속설비,,,,,,,,,,,,,,"2,243,002,258",건물부속설비,,,,,,,,,,,,,,"2,243,002,258"
건물부속설비감가상각누계액,"-293,221,195",0,0,0,0,0,0,"-293,221,195",,,,,"-293,221,195","-349,624,645",건물부속설비감가상각누계액,,,,,,,,,,,,,,"-349,624,645",건물부속설비감가상각누계액,,,,,,,,,,,,,,"-349,624,645",건물부속설비감가상각누계액,,,,,,,,,,,,,,"-349,624,645"
구축물,0,0,0,0,0,0,0,0,,,,,0,0,구축물,,,,,,,,,,,,,,0,구축물,,,,,,,,,,,,,,0,구축물,,,,,,,,,,,,,,0
구축물감가상각누계액,0,0,0,0,0,0,0,0,,,,,0,0,구축물감가상각누계액,,,,,,,,,,,,,,0,구축물감가상각누계액,,,,,,,,,,,,,,0,구축물감가상각누계액,,,,,,,,,,,,,,0
기계장치,0,0,0,0,0,0,0,0,,,,,0,0,기계장치,,,,,,,,,,,,,,0,기계장치,,,,,,,,,,,,,,0,기계장치,,,,,,,,,,,,,,0
기계감가상각누계액,0,0,0,0,0,0,0,0,,,,,0,0,기계감가상각누계액,,,,,,,,,,,,,,0,기계감가상각누계액,,,,,,,,,,,,,,0,기계감가상각누계액,,,,,,,,,,,,,,0
차량운반구,"626,251,804",0,0,0,0,0,0,"626,251,804",,,,,"626,251,804","626,251,804",차량운반구,,,,,,,,,,,,,,"626,251,804",차량운반구,,,,,,,,,,,,,,"626,251,804",차량운반구,,,,,,,,,,,,,,"626,251,804"
차량감가상각누계액,"-281,589,099",0,0,0,0,0,0,"-281,589,099",,,,,"-281,589,099","-375,526,870",차량감가상각누계액,,,,,,,,,,,,,,"-375,526,870",차량감가상각누계액,,,,,,,,,,,,,,"-375,526,870",차량감가상각누계액,,,,,,,,,,,,,,"-375,526,870"
임차시설물,"32,990,253,048","17,154,654,600","10,239,163,684",0,0,"280,000,000",0,"60,664,071,332",,,,,"60,664,071,332","64,698,811,672",임차시설물,,,,,,,,,,,,,,"64,698,811,672",임차시설물,,,,,,,,,,,,,,"64,698,811,672",임차시설물,,,,,,,,,,,,,,"64,698,811,672"
임차시설물감가상각누계액,"-17,754,106,631","-12,075,911,047","-8,647,142,111",0,0,"-107,333,333",0,"-38,584,493,122",,,,,"-38,584,493,122","-44,687,167,959",임차시설물감가상각누계액,,,,,,,,,,,,,,"-44,687,167,959",임차시설물감가상각누계액,,,,,,,,,,,,,,"-44,687,167,959",임차시설물감가상각누계액,,,,,,,,,,,,,,"-44,687,167,959"
금형,0,0,0,0,0,0,0,0,,,,,0,0,금형,,,,,,,,,,,,,,0,금형,,,,,,,,,,,,,,0,금형,,,,,,,,,,,,,,0
금형감가상각누계액,0,0,0,0,0,0,0,0,,,,,0,0,금형감가상각누계액,,,,,,,,,,,,,,0,금형감가상각누계액,,,,,,,,,,,,,,0,금형감가상각누계액,,,,,,,,,,,,,,0
공기구비품,"18,076,459,754","2,295,266,463","2,000,828,614",0,0,"281,783,399","120,291,877","22,774,630,107",,,,,"22,774,630,107","33,488,441,660",공기구비품,,,,,,,,,,,,,,"33,488,441,660",공기구비품,,,,,,,,,,,,,,"33,488,441,660",공기구비품,,,,,,,,,,,,,,"33,488,441,660"
공기구비품감가상각누계액,"-7,959,509,365","-1,495,295,517","-1,708,786,963",0,0,"-92,557,551","-48,669,982","-11,304,819,378",,,,,"-11,304,819,378","-15,494,953,688",공기구비품감가상각누계액,,,,,,,,,,,,,,"-15,494,953,688",공기구비품감가상각누계액,,,,,,,,,,,,,,"-15,494,953,688",공기구비품감가상각누계액,,,,,,,,,,,,,,"-15,494,953,688"
건설중인자산(유형),"105,740,813,478",0,"3,045,766",0,0,0,0,"105,743,859,244",,,,,"105,743,859,244","434,571,988",건설중인자산(유형),,,,,,,,,,,,,,"434,571,988",건설중인자산(유형),,,,,,,,,,,,,,"434,571,988",건설중인자산(유형),,,,,,,,,,,,,,"434,571,988"
(3)투자부동산,0,0,0,0,0,0,0,0,,,,,0,"79,524,869,866",(3)투자부동산,,,,,,,,,,,,,,"79,524,869,866",(3)투자부동산,,,,,,,,,,,,,,"79,524,869,866",(3)투자부동산,,,,,,,,,,,,,,"79,524,869,866"
토지(투자부동산),0,0,0,0,0,0,0,0,,,,,0,"57,266,198,346",토지(투자부동산),,,,,,,,,,,,,,"57,266,198,346",토지(투자부동산),,,,,,,,,,,,,,"57,266,198,346",토지(투자부동산),,,,,,,,,,,,,,"57,266,198,346"
건물(투자부동산),0,0,0,0,0,0,0,0,,,,,0,"24,062,876,237",건물(투자부동산),,,,,,,,,,,,,,"24,062,876,237",건물(투자부동산),,,,,,,,,,,,,,"24,062,876,237",건물(투자부동산),,,,,,,,,,,,,,"24,062,876,237"
건물감가상각누계액(투자부동산),0,0,0,0,0,0,0,0,,,,,0,"-1,804,204,717",건물감가상각누계액(투자부동산),,,,,,,,,,,,,,"-1,804,204,717",건물감가상각누계액(투자부동산),,,,,,,,,,,,,,"-1,804,204,717",건물감가상각누계액(투자부동산),,,,,,,,,,,,,,"-1,804,204,717"
건물부속설비(투자부동산),0,0,0,0,0,0,0,0,,,,,0,0,건물부속설비(투자부동산),,,,,,,,,,,,,,0,건물부속설비(투자부동산),,,,,,,,,,,,,,0,건물부속설비(투자부동산),,,,,,,,,,,,,,0
건물부속설비감가상각누계액(투자부동산),0,0,0,0,0,0,0,0,,,,,0,0,건물부속설비감가상각누계액(투자부동산),,,,,,,,,,,,,,0,건물부속설비감가상각누계액(투자부동산),,,,,,,,,,,,,,0,건물부속설비감가상각누계액(투자부동산),,,,,,,,,,,,,,0
